1080606,1959,1966.50,1892.50,1890.75,524914
1080609,1891.25,1904.25,1891.50,1852.75,512507
1080610,1889.75,1893.25,1877,1860.25,410368
1080611,1876,1887.50,1830.50,1827.50,481595
1080612,1829,1859.25,1833.75,1814,336568
1080613,1833.25,1874.25,1869.25,1823.75,417808
1080616,1869.25,1897.25,1885,1857.25,375901
1080617,1883.50,1900.50,1881,1874.25,392702
1080618,1880.75,1884.50,1856.25,1847.25,442572
1080619,1855.75,1896.50,1885.25,1838,552215
1080620,1887.25,1888.75,1836.25,1822.25,541065
1080623,1837.75,1846.75,1812.75,1812.25,347901
1080624,1813.75,1829.50,1806.25,1789.75,413462
1080625,1806.75,1847.25,1842.75,1806.75,395524
1080626,1817.25,1828,1761.25,1757.25,492064
1080627,1766.50,1772.50,1760.50,1730.75,434636
1080630,1761.50,1767.75,1740.75,1737,369687
1080701,1743.50,1766.75,1763.75,1710.50,582015
1080702,1764.50,1782,1719.75,1715.25,476841
1080703,1721.50,1733.75,1716.75,1701,326610
1080704,1716.75,1723.25,1716.75,1708.50,4615
1080707,1710.50,1749.25,1727,1698.75,506848
1080708,1726,1771.50,1763.25,1705.50,490691
1080709,1763.75,1772.25,1726.25,1718.50,425063
1080710,1726.50,1747.50,1739,1704.25,520207
1080711,1740.25,1755,1715.25,1682.75,586094
1080714,1712.50,1745.25,1697.25,1691.50,480210
1080715,1697.50,1728.25,1693.75,1660,685484
1080716,1697.50,1745,1739.50,1680.50,542827
1080717,1736,1763.25,1734.50,1727.75,532829
1080718,1727.25,1743.25,1723.50,1714,430280
1080721,1722.50,1739.75,1722.25,1708,332636
1080722,1716.50,1722,1718.75,1682.50,436295
1080723,1720,1765,1743.75,1717,494064
1080724,1741,1758.25,1714.25,1706.25,412530
1080725,1712.75,1748.25,1735.25,1710,294471
1080728,1740,1749.25,1708.50,1694.75,351219
1080729,1706.50,1750.25,1736.75,1701.25,374080
1080730,1737,1761.50,1751,1723,412764
